State,District,DistrictType,Indicators,Urban,Rural,Total
Madhya Pradesh,Alirajpur,Rural,Mothers who had at least 4 antenatal care visits (%),NA,19.7,21.1
Madhya Pradesh,Alirajpur,Rural,Mothers whose last birth was protected against neonatal tetanus7 (%),NA,67,68.9
Madhya Pradesh,Alirajpur,Rural,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),NA,11,12.7
Madhya Pradesh,Alirajpur,Rural,Mothers who had full antenatal care8 (%),NA,3.4,4.8
Madhya Pradesh,Alirajpur,Rural,Registered pregnancies for which the mother received Mother and Child Protection(MCP) card (%),NA,56.8,59.3
Madhya Pradesh,Alirajpur,Rural,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),NA,40.6,44.1
Madhya Pradesh,Alirajpur,Rural,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),NA,66.5,63.9
Madhya Pradesh,Alirajpur,Rural,Average out of pocket expenditure per delivery in public health facility (Rs.),NA,760,754
Madhya Pradesh,Alirajpur,Rural,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),NA,2,2
Madhya Pradesh,Alirajpur,Rural,Children who received a health check after birth from a doctor/nurse/LHV/ANM/ midwife/other health personnel within 2 days of birth (%),NA,15.6,16.5
Madhya Pradesh,Alirajpur,Rural,Institutional births (%),NA,48.2,50.5
Madhya Pradesh,Alirajpur,Rural,Institutional births in public facility (%),NA,45.5,46
Madhya Pradesh,Alirajpur,Rural,Home delivery conducted by skilled health personnel (out of total deliveries) (%),NA,2.6,2.5
Madhya Pradesh,Alirajpur,Rural,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),NA,47.9,50
Madhya Pradesh,Alirajpur,Rural,Births delivered by caesarean section (%),NA,0.6,1.6
Madhya Pradesh,Alirajpur,Rural,Births in a private health facility delivered by caesarean section (%),NA,*,26.7
Madhya Pradesh,Alirajpur,Rural,Births in a public health facility delivered by caesarean section (%),NA,0.3,0.8
Madhya Pradesh,Alirajpur,Rural,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",NA,22.1,22.6
Madhya Pradesh,Alirajpur,Rural,Children age 12-23 months who have received BCG (%),NA,82.4,82.9
Madhya Pradesh,Alirajpur,Rural,Children age 12-23 months who have received 3 doses of polio vaccine (%),NA,40.4,39.5
Madhya Pradesh,Alirajpur,Rural,Children age 12-23 months who have received 3 doses of DPT vaccine (%),NA,35.2,37
Madhya Pradesh,Alirajpur,Rural,Children age 12-23 months who have received measles vaccine (%),NA,57.7,60
Madhya Pradesh,Alirajpur,Rural,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),NA,24.3,24.6
Madhya Pradesh,Alirajpur,Rural,Children age 9-59 months who received a vitamin A dose in last 6 months (%),NA,53.6,54.8
Madhya Pradesh,Alirajpur,Rural,Children age 12-23 months who received most of the vaccinations in public health facility (%),NA,98.2,97.5
Madhya Pradesh,Alirajpur,Rural,Children age 12-23 months who received most of the vaccinations in private health facility (%),NA,0.9,1.6
Madhya Pradesh,Alirajpur,Rural,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),NA,7.7,7.8
Madhya Pradesh,Alirajpur,Rural,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),NA,76.6,76.5
Madhya Pradesh,Alirajpur,Rural,Children with diarrhoea in the last 2 weeks who received zinc (%),NA,45.4,45.7
Madhya Pradesh,Alirajpur,Rural,Children with diarrhoea in the last 2 weeks taken to a health facility (%),NA,72.1,70.7
Madhya Pradesh,Alirajpur,Rural,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),NA,1.8,1.9
Madhya Pradesh,Alirajpur,Rural,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),NA,62.4,63.5
Madhya Pradesh,Alirajpur,Rural,Children under age 3 years breastfed within one hour of birth9 (%),NA,26.5,25.5
Madhya Pradesh,Alirajpur,Rural,Children under age 6 months exclusively breastfed10 (%),NA,58.8,58
Madhya Pradesh,Alirajpur,Rural,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),NA,40.2,37.1
Madhya Pradesh,Alirajpur,Rural,"Breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,3.7,3.5
Madhya Pradesh,Alirajpur,Rural,"Non-breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,5.8,5.3
Madhya Pradesh,Alirajpur,Rural,"Total children age 6-23 months receiving an adequate diet10,11 (%)",NA,4,3.8
Madhya Pradesh,Alirajpur,Rural,Children under 5 years who are stunted (height-for-age)12 (%),NA,49.9,48.6
Madhya Pradesh,Alirajpur,Rural,Children under 5 years who are wasted (weight-for-height)12 (%),NA,33.6,32.9
Madhya Pradesh,Alirajpur,Rural,Children under 5 years who are severely wasted (weight-for-height)13 (%),NA,11.4,11.3
Madhya Pradesh,Alirajpur,Rural,Children under 5 years who are underweight (weight-for-age)12 (%),NA,54.1,52.4
Madhya Pradesh,Alirajpur,Rural,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),NA,37.5,35.8
Madhya Pradesh,Alirajpur,Rural,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),NA,38,35.9
Madhya Pradesh,Alirajpur,Rural,Women who are overweight or obese (BMI 䊫 25.0 kg/m2)14 (%),NA,5.1,7.2
Madhya Pradesh,Alirajpur,Rural,Men who are overweight or obese (BMI 䊫 25.0 kg/m2) (%),NA,6,8.1
Madhya Pradesh,Alirajpur,Rural,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),NA,75.4,74.5
Madhya Pradesh,Alirajpur,Rural,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),NA,64.7,64.4
Madhya Pradesh,Alirajpur,Rural,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),NA,64.7,64.1
Madhya Pradesh,Alirajpur,Rural,All women age 15-49 years who are anaemic (%),NA,64.7,64.4
Madhya Pradesh,Alirajpur,Rural,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),NA,49.2,48.5
Madhya Pradesh,Alirajpur,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,4.2,4
Madhya Pradesh,Alirajpur,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,1.3,1.3
Madhya Pradesh,Alirajpur,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,7.4,7.4
Madhya Pradesh,Alirajpur,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,4,4.4
Madhya Pradesh,Alirajpur,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,7,7.5
Madhya Pradesh,Alirajpur,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,1.3,1.2
Madhya Pradesh,Alirajpur,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,0.7,0.8
Madhya Pradesh,Alirajpur,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,10.5,9.7
Madhya Pradesh,Alirajpur,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,2.2,1.9
Madhya Pradesh,Alirajpur,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,0,0
Madhya Pradesh,Alirajpur,Rural,Cervix (%),NA,31,29.4
Madhya Pradesh,Alirajpur,Rural,Breast (%),NA,17,16.4
Madhya Pradesh,Alirajpur,Rural,Oral cavity (%),NA,23,22
Madhya Pradesh,Anuppur,Rural,Population (female) age 6 years and above who ever attended school (%),NA,59.4,63.8
Madhya Pradesh,Anuppur,Rural,Population below age 15 years (%),NA,31.5,30.1
Madhya Pradesh,Anuppur,Rural,"Sex ratio of the total population (females per 1,000 males)",NA,"1,015",996
Madhya Pradesh,Anuppur,Rural,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",NA,795,829
Madhya Pradesh,Anuppur,Rural,Children under age 5 years whose birth was registered (%),NA,82,84.7
Madhya Pradesh,Anuppur,Rural,Households with electricity (%),NA,72.8,79
Madhya Pradesh,Anuppur,Rural,Households with an improved drinking-water source1 (%),NA,62.2,69.3
Madhya Pradesh,Anuppur,Rural,Households using improved sanitation facility2 (%),NA,6.5,22.2
Madhya Pradesh,Anuppur,Rural,Households using clean fuel for cooking3 (%),NA,3.5,18.2
Madhya Pradesh,Anuppur,Rural,Households using iodized salt (%),NA,93,93.2
Madhya Pradesh,Anuppur,Rural,Households with any usual member covered by a health scheme or health insurance (%),NA,22,26.8
Madhya Pradesh,Anuppur,Rural,Women who are literate (%),NA,55.3,61.8
Madhya Pradesh,Anuppur,Rural,Men who are literate (%),NA,74.8,80.5
Madhya Pradesh,Anuppur,Rural,Women with 10 or more years of schooling (%),NA,15,23.2
Madhya Pradesh,Anuppur,Rural,Women age 20-24 years married before age 18 years (%),NA,32.7,27.3
Madhya Pradesh,Anuppur,Rural,Men age 25-29 years married before age 21 years (%),NA,*,*
Madhya Pradesh,Anuppur,Rural,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),NA,9.5,8
Madhya Pradesh,Anuppur,Rural,Any method4 (%),NA,48.2,49.1
Madhya Pradesh,Anuppur,Rural,Any modern method4 (%),NA,46.9,47.5
Madhya Pradesh,Anuppur,Rural,Female sterilization (%),NA,44,43
Madhya Pradesh,Anuppur,Rural,Male sterilization (%),NA,1,0.8
Madhya Pradesh,Anuppur,Rural,IUD/PPIUD (%),NA,0.8,1
Madhya Pradesh,Anuppur,Rural,Pill (%),NA,0,0.3
Madhya Pradesh,Anuppur,Rural,Condom (%),NA,1.1,2.4
Madhya Pradesh,Anuppur,Rural,Total unmet need (%),NA,12.8,13.5
Madhya Pradesh,Anuppur,Rural,Unmet need for spacing (%),NA,7.3,7.4
Madhya Pradesh,Anuppur,Rural,Health worker ever talked to female non-users about family planning (%),NA,14.4,14.6
Madhya Pradesh,Anuppur,Rural,Current users ever told about side effects of current method6 (%),NA,23.3,24.4
Madhya Pradesh,Anuppur,Rural,Mothers who had antenatal check-up in the first trimester (%),NA,41.9,45
Madhya Pradesh,Anuppur,Rural,Mothers who had at least 4 antenatal care visits (%),NA,32.5,35.1
Madhya Pradesh,Anuppur,Rural,Mothers whose last birth was protected against neonatal tetanus7 (%),NA,90.7,91.8
Madhya Pradesh,Anuppur,Rural,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),NA,32.8,30.7
Madhya Pradesh,Anuppur,Rural,Mothers who had full antenatal care8 (%),NA,15.6,15.5
Madhya Pradesh,Anuppur,Rural,Registered pregnancies for which the mother received Mother and Child Protection(MCP) card (%),NA,87.5,88.4
Madhya Pradesh,Anuppur,Rural,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),NA,51.5,53.4
Madhya Pradesh,Anuppur,Rural,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),NA,73.6,67.2
Madhya Pradesh,Anuppur,Rural,Average out of pocket expenditure per delivery in public health facility (Rs.),NA,876,870
Madhya Pradesh,Anuppur,Rural,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),NA,5.7,5
Madhya Pradesh,Anuppur,Rural,Children who received a health check after birth from a doctor/nurse/LHV/ANM/ midwife/other health personnel within 2 days of birth (%),NA,20.3,18.4
Madhya Pradesh,Anuppur,Rural,Institutional births (%),NA,75.2,77.1
Madhya Pradesh,Anuppur,Rural,Institutional births in public facility (%),NA,72.1,70.2
Madhya Pradesh,Anuppur,Rural,Home delivery conducted by skilled health personnel (out of total deliveries) (%),NA,3.3,3.8
Madhya Pradesh,Anuppur,Rural,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),NA,73.3,73.9
Madhya Pradesh,Anuppur,Rural,Births delivered by caesarean section (%),NA,3.8,5.9
Madhya Pradesh,Anuppur,Rural,Births in a private health facility delivered by caesarean section (%),NA,*,44
Madhya Pradesh,Anuppur,Rural,Births in a public health facility delivered by caesarean section (%),NA,4.3,4.1
Madhya Pradesh,Anuppur,Rural,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",NA,54,57.8
Madhya Pradesh,Anuppur,Rural,Children age 12-23 months who have received BCG (%),NA,94.1,95.4
Madhya Pradesh,Anuppur,Rural,Children age 12-23 months who have received 3 doses of polio vaccine (%),NA,57.8,62.4
Madhya Pradesh,Anuppur,Rural,Children age 12-23 months who have received 3 doses of DPT vaccine (%),NA,79.3,80.7
Madhya Pradesh,Anuppur,Rural,Children age 12-23 months who have received measles vaccine (%),NA,90.4,90.8
Madhya Pradesh,Anuppur,Rural,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),NA,59.1,61.8
Madhya Pradesh,Anuppur,Rural,Children age 9-59 months who received a vitamin A dose in last 6 months (%),NA,65,66.7
Madhya Pradesh,Anuppur,Rural,Children age 12-23 months who received most of the vaccinations in public health facility (%),NA,97.5,98.1
Madhya Pradesh,Anuppur,Rural,Children age 12-23 months who received most of the vaccinations in private health facility (%),NA,2.5,1.9
Madhya Pradesh,Anuppur,Rural,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),NA,4.6,3.9
Madhya Pradesh,Anuppur,Rural,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),NA,*,*
Madhya Pradesh,Anuppur,Rural,Children with diarrhoea in the last 2 weeks who received zinc (%),NA,*,*
Madhya Pradesh,Anuppur,Rural,Children with diarrhoea in the last 2 weeks taken to a health facility (%),NA,*,*
Madhya Pradesh,Anuppur,Rural,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),NA,3.7,2.9
Madhya Pradesh,Anuppur,Rural,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),NA,47.9,52.7
Madhya Pradesh,Anuppur,Rural,Children under age 3 years breastfed within one hour of birth9 (%),NA,45.1,43.8
Madhya Pradesh,Anuppur,Rural,Children under age 6 months exclusively breastfed10 (%),NA,66.8,61.3
Madhya Pradesh,Anuppur,Rural,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),NA,*,*
Madhya Pradesh,Anuppur,Rural,"Breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,7.2,9.1
Madhya Pradesh,Anuppur,Rural,"Non-breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,*,*
Madhya Pradesh,Anuppur,Rural,"Total children age 6-23 months receiving an adequate diet10,11 (%)",NA,6.8,10.4
Madhya Pradesh,Anuppur,Rural,Children under 5 years who are stunted (height-for-age)12 (%),NA,36.2,33.5
Madhya Pradesh,Anuppur,Rural,Children under 5 years who are wasted (weight-for-height)12 (%),NA,32.5,30
Madhya Pradesh,Anuppur,Rural,Children under 5 years who are severely wasted (weight-for-height)13 (%),NA,16.2,13.9
Madhya Pradesh,Anuppur,Rural,Children under 5 years who are underweight (weight-for-age)12 (%),NA,42.2,40
Madhya Pradesh,Anuppur,Rural,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),NA,29.8,26.2
Madhya Pradesh,Anuppur,Rural,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),NA,30,27.3
Madhya Pradesh,Anuppur,Rural,Women who are overweight or obese (BMI 䊫 25.0 kg/m2)14 (%),NA,4.6,10.3
Madhya Pradesh,Anuppur,Rural,Men who are overweight or obese (BMI 䊫 25.0 kg/m2) (%),NA,3.4,10.1
Madhya Pradesh,Anuppur,Rural,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),NA,68.2,67.6
Madhya Pradesh,Anuppur,Rural,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),NA,65.8,62.5
Madhya Pradesh,Anuppur,Rural,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),NA,59.1,58.4
Madhya Pradesh,Anuppur,Rural,All women age 15-49 years who are anaemic (%),NA,65.4,62.3
Madhya Pradesh,Anuppur,Rural,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),NA,50.3,43
Madhya Pradesh,Anuppur,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,4.8,5.3
Madhya Pradesh,Anuppur,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,1.4,2.4
Madhya Pradesh,Anuppur,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,7.2,9.2
Madhya Pradesh,Anuppur,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,5.2,5.3
Madhya Pradesh,Anuppur,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,6.2,6.8
Madhya Pradesh,Anuppur,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,1.4,1.1
Madhya Pradesh,Anuppur,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,0.8,0.9
Madhya Pradesh,Anuppur,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,9.3,9.7
Madhya Pradesh,Anuppur,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,1.1,0.8
Madhya Pradesh,Anuppur,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,0,1
Madhya Pradesh,Anuppur,Rural,Cervix (%),NA,7.9,8.6
Madhya Pradesh,Anuppur,Rural,Breast (%),NA,5.2,4.8
Madhya Pradesh,Anuppur,Rural,Oral cavity (%),NA,5.9,7.1
Madhya Pradesh,Ashoknagar,Rural,Population (female) age 6 years and above who ever attended school (%),NA,56,58.6
Madhya Pradesh,Ashoknagar,Rural,Population below age 15 years (%),NA,32.7,32.5
Madhya Pradesh,Ashoknagar,Rural,"Sex ratio of the total population (females per 1,000 males)",NA,877,889
Madhya Pradesh,Ashoknagar,Rural,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",NA,938,942
Madhya Pradesh,Ashoknagar,Rural,Children under age 5 years whose birth was registered (%),NA,84.8,86.1
Madhya Pradesh,Ashoknagar,Rural,Households with electricity (%),NA,86.1,88.3
Madhya Pradesh,Ashoknagar,Rural,Households with an improved drinking-water source1 (%),NA,90,91.7
Madhya Pradesh,Ashoknagar,Rural,Households using improved sanitation facility2 (%),NA,12.9,19.8
Madhya Pradesh,Ashoknagar,Rural,Households using clean fuel for cooking3 (%),NA,6.8,15.9
Madhya Pradesh,Ashoknagar,Rural,Households using iodized salt (%),NA,88.9,90.6
Madhya Pradesh,Ashoknagar,Rural,Households with any usual member covered by a health scheme or health insurance (%),NA,14.8,19
Madhya Pradesh,Ashoknagar,Rural,Women who are literate (%),NA,47.6,52.4
Madhya Pradesh,Ashoknagar,Rural,Men who are literate (%),NA,73.6,77
Madhya Pradesh,Ashoknagar,Rural,Women with 10 or more years of schooling (%),NA,7.2,12.3
Madhya Pradesh,Ashoknagar,Rural,Women age 20-24 years married before age 18 years (%),NA,36.7,33.2
Madhya Pradesh,Ashoknagar,Rural,Men age 25-29 years married before age 21 years (%),NA,57.9,54.9
Madhya Pradesh,Ashoknagar,Rural,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),NA,10.7,9.9
Madhya Pradesh,Ashoknagar,Rural,Any method4 (%),NA,57.6,58.3
Madhya Pradesh,Ashoknagar,Rural,Any modern method4 (%),NA,57.6,58.3
Madhya Pradesh,Ashoknagar,Rural,Female sterilization (%),NA,53.1,49.2
Madhya Pradesh,Ashoknagar,Rural,Male sterilization (%),NA,0,0
Madhya Pradesh,Ashoknagar,Rural,IUD/PPIUD (%),NA,0.3,0.4
Madhya Pradesh,Ashoknagar,Rural,Pill (%),NA,1.6,2.9
Madhya Pradesh,Ashoknagar,Rural,Condom (%),NA,2.2,5.5
Madhya Pradesh,Ashoknagar,Rural,Total unmet need (%),NA,14.6,14.2
Madhya Pradesh,Ashoknagar,Rural,Unmet need for spacing (%),NA,5.7,5.8
Madhya Pradesh,Ashoknagar,Rural,Health worker ever talked to female non-users about family planning (%),NA,27.2,30.3
Madhya Pradesh,Ashoknagar,Rural,Current users ever told about side effects of current method6 (%),NA,50.1,52.9
Madhya Pradesh,Ashoknagar,Rural,Mothers who had antenatal check-up in the first trimester (%),NA,63.6,68.3
Madhya Pradesh,Ashoknagar,Rural,Mothers who had at least 4 antenatal care visits (%),NA,39.2,38.5
Madhya Pradesh,Ashoknagar,Rural,Mothers whose last birth was protected against neonatal tetanus7 (%),NA,93.4,93.8
Madhya Pradesh,Ashoknagar,Rural,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),NA,14.6,18.1
Madhya Pradesh,Ashoknagar,Rural,Mothers who had full antenatal care8 (%),NA,4.3,5.1
Madhya Pradesh,Ashoknagar,Rural,Registered pregnancies for which the mother received Mother and Child Protection(MCP) card (%),NA,94.2,94.5
Madhya Pradesh,Ashoknagar,Rural,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),NA,65.4,70
Madhya Pradesh,Ashoknagar,Rural,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),NA,71.3,69.7
Madhya Pradesh,Ashoknagar,Rural,Average out of pocket expenditure per delivery in public health facility (Rs.),NA,978,864
Madhya Pradesh,Ashoknagar,Rural,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),NA,0,0
Madhya Pradesh,Ashoknagar,Rural,Children who received a health check after birth from a doctor/nurse/LHV/ANM/ midwife/other health personnel within 2 days of birth (%),NA,18.3,19.8
Madhya Pradesh,Ashoknagar,Rural,Institutional births (%),NA,78.8,82.3
Madhya Pradesh,Ashoknagar,Rural,Institutional births in public facility (%),NA,75.8,75.9
Madhya Pradesh,Ashoknagar,Rural,Home delivery conducted by skilled health personnel (out of total deliveries) (%),NA,2.4,1.9
Madhya Pradesh,Ashoknagar,Rural,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),NA,68,69.7
Madhya Pradesh,Ashoknagar,Rural,Births delivered by caesarean section (%),NA,2.7,4.8
Madhya Pradesh,Ashoknagar,Rural,Births in a private health facility delivered by caesarean section (%),NA,*,48
Madhya Pradesh,Ashoknagar,Rural,Births in a public health facility delivered by caesarean section (%),NA,1.8,2.3
Madhya Pradesh,Ashoknagar,Rural,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",NA,30.7,37.2
Madhya Pradesh,Ashoknagar,Rural,Children age 12-23 months who have received BCG (%),NA,78.1,80.9
Madhya Pradesh,Ashoknagar,Rural,Children age 12-23 months who have received 3 doses of polio vaccine (%),NA,41.8,47.6
Madhya Pradesh,Ashoknagar,Rural,Children age 12-23 months who have received 3 doses of DPT vaccine (%),NA,55.8,59.1
Madhya Pradesh,Ashoknagar,Rural,Children age 12-23 months who have received measles vaccine (%),NA,54.9,59.6
Madhya Pradesh,Ashoknagar,Rural,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),NA,38.6,43.7
Madhya Pradesh,Ashoknagar,Rural,Children age 9-59 months who received a vitamin A dose in last 6 months (%),NA,61.2,61.4
Madhya Pradesh,Ashoknagar,Rural,Children age 12-23 months who received most of the vaccinations in public health facility (%),NA,98.1,98.5
Madhya Pradesh,Ashoknagar,Rural,Children age 12-23 months who received most of the vaccinations in private health facility (%),NA,0,0
Madhya Pradesh,Ashoknagar,Rural,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),NA,9.2,12.1
Madhya Pradesh,Ashoknagar,Rural,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),NA,68,77.8
Madhya Pradesh,Ashoknagar,Rural,Children with diarrhoea in the last 2 weeks who received zinc (%),NA,51.6,62.2
Madhya Pradesh,Ashoknagar,Rural,Children with diarrhoea in the last 2 weeks taken to a health facility (%),NA,64.9,75.8
Madhya Pradesh,Ashoknagar,Rural,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),NA,1.9,3.5
Madhya Pradesh,Ashoknagar,Rural,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),NA,61.4,72.7
Madhya Pradesh,Ashoknagar,Rural,Children under age 3 years breastfed within one hour of birth9 (%),NA,30.5,32.8
Madhya Pradesh,Ashoknagar,Rural,Children under age 6 months exclusively breastfed10 (%),NA,27.5,30.2
Madhya Pradesh,Ashoknagar,Rural,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),NA,*,*
Madhya Pradesh,Ashoknagar,Rural,"Breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,6.1,6.4
Madhya Pradesh,Ashoknagar,Rural,"Non-breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,*,*
